Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
19,1,Pain,Subgroup analysis: radiating pain Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444634126091490607
19,2,Pain,Subgroup analysis: radiating pain Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444634126261098045
19,3,Pain,Subgroup analysis: radiating pain Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444634126321391258
19,4,Pain,Subgroup analysis: radiating pain Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444634126391383791
19,5,Functional status,Subgroup analysis: radiating pain Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444634126182979004
19,6,Functional status,Subgroup analysis: radiating pain Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444634126438831920
19,7,Functional status,Subgroup analysis: radiating pain Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444634126504630161
20,1,Pain,Subgroup analysis: radiating pain Cochrane SMT as adjuvant therapy,Custom input,"#N/A",Continuous,false,,,,,,,SMT+ another intervention,Intervention alone,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444640034055725831
21,1,Pain,Subgroup analysis: treatment type (recommended vs. non-recommended) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749846692609442
21,2,Pain,Subgroup analysis: treatment type (recommended vs. non-recommended) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749846729833929
21,3,Pain,Subgroup analysis: treatment type (recommended vs. non-recommended) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749846755524067
21,4,Pain,Subgroup analysis: treatment type (recommended vs. non-recommended) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749846778854908
21,5,Functional status,Subgroup analysis: treatment type (recommended vs. non-recommended) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749846798253583
21,6,Functional status,Subgroup analysis: treatment type (recommended vs. non-recommended) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749846889217651
21,7,Functional status,Subgroup analysis: treatment type (recommended vs. non-recommended) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749846987259580
22,1,Pain,Subgroup analysis: treatment type (other intervention than exercise versus exercise) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444749868023529209
