Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Coombs 2021,2021,PUB,25735857,<p>Design: Step-Wedge</p>,<p>Country: Australia&nbsp;<br>Setting: Emergency rooms&nbsp;<br>N health professionals: 269&nbsp;<br>N patients: 4491</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F, education, fast-track outpatient care</p>",<p>Clinical behaviour category: Testing/exams</p>,
Crowley 2023,2023,PUB,25735859,<p>Design: Parallel Cluster-RCT</p>,"<p>Country: USA&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: 438&nbsp;<br>N patients: 21,653</p>",<p>Number of arms: 4&nbsp;<br>Description of groups: Control: usual care; Intervention 1: A&amp;F; Intervention 2: peer benchmarking; Intervention 3: A&amp;F + peer benchmarking</p>,<p>Clinical behaviour category: Prescribing</p>,
Curtis 2021,2021,PUB,25735861,<p>Design: Parallel Cluster-RCT</p>,<p>Country: England&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,<p>Number of arms: 3&nbsp;<br>Description of groups: Control: no intervention; Intervention 1: A&amp;F with same message sent three times; Intervention 2: A&amp;F with same message sent three times&nbsp;</p>,<p>Clinical behaviour category: Prescribing</p>,
Daneman 2021,2021,PUB,25735863,<p>Design: Parallel Cluster-RCT</p>,"<p>Country: Canada&nbsp;<br>Setting: Nursing homes&nbsp;<br>N health professionals: 343&nbsp;<br>N patients: 36,194</p>",<p>Number of arms: 2&nbsp;<br>Description of groups: Intervention 1: Dynamic A&amp;F; Intervention 2: Static A&amp;F</p>,<p>Clinical behaviour category: Prescribing</p>,
Daneman 2022,2022,PUB,25735865,<p>Design: Parallel Cluster-RCT</p>,"<p>Country: Canada&nbsp;<br>Setting: Other&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: &gt; 28,000</p>","<p>Number of arms: 3&nbsp;<br>Description of groups: Intervention 1: A&amp;F email with social peer comparison nudge; Intervention 2: A&amp;F email with ""a maintenance of professional certification incentive nudge""; Intervention 3: A&amp;F email with a prior participation nudge</p>",<p>Clinical behaviour category: Prescribing</p>,
Devore 2021,2021,PUB,25735867,<p>Design: Parallel Cluster-RCT</p>,<p>Country: USA&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 5647</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F, education, Continuous quality improvement</p>",<p>Clinical behaviour category: Other</p>,
Dutcher 2022,2022,PUB,25735869,<p>Design: Step-Wedge</p>,<p>Country: USA&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 183&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F - peer benchmarking + educational sessions</p>,<p>Clinical behaviour category: Prescribing</p>,
Du Yan 2021,2021,PUB,25735871,<p>Design: Parallel Cluster-RCT</p>,<p>Country: USA&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 45&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: education only; Intervention: A&amp;F monthly dashboard and education</p>,<p>Clinical behaviour category: Prescribing</p>,
Emond 2022,2022,PUB,25735873,<p>Design: Step-Wedge</p>,<p>Country: Netherlands&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: educational activities, audit and feedback, reminders, organisational, team-directed, and patient-mediated activities</p>",<p>Clinical behaviour category: Other</p>,
Gold 2022a,2022,PUB,25735877,<p>Design: Other</p>,<p>Country: England&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F (social norm benchmarking)&nbsp;</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F (social norm benchmarking)&nbsp;</p>,
Gold 2022b,2022,PUB,27857713,<p>Design: Other</p>,<p>Country: England&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: overall prescribing letter; Intervention 1: broad-spectrum letter A&amp;F; Intervention 2: broad-spectrum letter A&amp;F</p>,<p>Clinical behaviour category: Prescribing</p>,
Haskell 2021,2021,PUB,25735879,<p>Design: Parallel Cluster RCT</p>,<p>Country: Australia and New Zealand&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 3727</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: guideline dissemination; Intervention: site-based clinical leads, stakeholder meetings, a train-the-trainer workshop, targeted educational delivery, other educational and promotional materials, and audit and feedback</p>",<p>Clinical behaviour category: Other</p>,
Hocking 2022,2022,PUB,25735881,<p>Design: Factorial</p>,"<p>Country: Australia&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 49,525</p>",<p>Number of arms: 4&nbsp;<br>Description of groups: Control: no intervention; Intervention 1: incentive; Intervention 2: A&amp;F + no incentive; Intervention 3: A&amp;F + incentive</p>,<p>Clinical behaviour category: Testing/exams</p>,
James 2022,2022,PUB,25735883,<p>Design: Step-Wedge</p>,<p>Country: Canada&nbsp;<br>Setting: Other&nbsp;<br>N health professionals: 34&nbsp;<br>N patients: 7106</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: usual care; Intervention: A&amp;F + educational session + decision aid</p>,<p>Clinical behaviour category: Treatment decision/action</p>,
Jones 2023,2023,PUB,25735885,<p>Design: Step-Wedge</p>,"<p>Country: Australia&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 37,946</p>",<p>Number of arms: 4&nbsp;<br>Description of groups: Intervention 1: 2 intervention clusters in 4 periods (each) and 2 control clusters in 1 period ; Intervention 2: 2 intervention clusters in 3 periods (each) and 2 control clusters in 2 periods (each); Intervention 3: 2 intervention clusters in 2 periods (each) and 2 control clusters in 3 periods (each); Intervention 4: 2 intervention clusters in 1 period and 2 control clusters in 4 periods (each)</p>,<p>Clinical behaviour category: Diagnosis</p>,
Kallen 2021,2021,PUB,25735887,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Netherlands&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 8840</p>,<p>Number of arms: 3&nbsp;<br>Description of groups: Intervention 1: A&amp;F on antibiotic volume and continuous quality improvement; Intervention 2: A&amp;F on appropriateness of antibiotics and continuous quality improvement; Intervention 3: A&amp;F brief on appropriateness and continuous quality improvement</p>,<p>Clinical behaviour category: Prescribing</p>,
Kronman 2020,2020,PUB,25735889,<p>Design: Step-Wedge</p>,"<p>Country: USA&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 29,762</p>","<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: online tutorials and webinars on evidence-based communication strategies and antibiotic prescribing, booster video vignettes, and individualised antibiotic prescribing feedback reports</p>",<p>Clinical behaviour category: Prescribing</p>,
